,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,S1_DiFi_FPLC_2uL,S2_DiFi_His_2uL,S3_CCCR_FPLC_2uL,S4_CCCR_His_2uL
ASL,3.44475821908342,3.65725525038434,3.22344120934214,3.68342366980374,3.68298581076959,3.70986437727204,3.09656686713733,3.86500898675643,4.029514809433,0,2.87052274241237,5.16984804861902,1.89473910179792,2.05409420013722
PTBP1,4.05806441314603,3.93521424962126,4.14406608441303,2.569609625994,3.33778484391684,2.81610842924801,3.76443962443268,4.11144617124736,3.69196718812032,0,2.51978738675437,2.58489654140964,3.5697570737608,3.1508960348579
ERBB3,2.57151760075562,3.02656962360087,2.11638083409208,4.07011113047582,3.78185524220778,3.81683549642601,3.93246795663345,3.45311269080306,3.59361346823549,4.11293134642858,3.15244730840954,2.85791276130325,1.23834274816209,2.51834436472457
SEMA4D,3.98486564326738,3.84837850740358,3.664046907934,3.68342366980374,3.68298581076959,4.0970716835637,3.09656686713733,2.87441215271289,2.96599568467055,3.64476072173517,2.05542144898087,2.85791276130325,1.23834274816209,2.51834436472457
H6PD,3.07322314924793,2.85899769615491,2.11638083409208,1.98618978584291,2.21543219554927,3.0089353083393,2.94757194825516,3.32872237087975,3.78404158811829,4.19075386455819,3.15244730840954,3.28533118563263,3.5697570737608,4.62329400757067
PRSS8,2.35622457757371,2.85899769615491,2.37018113537312,3.3053399029244,2.88310498825785,3.46871393829317,3.23160448319078,3.45311269080306,3.4880608548379,3.85058071257757,3.38818285510002,3.08739300188541,2.96280221005881,3.38660193243663
HK1,3.64809754388623,4.09462213849059,4.0743538223847,3.15354276915406,2.6929426969253,3.46871393829317,2.12341726605266,2.87441215271289,2.96599568467055,0.970107555577958,3.15244730840954,4.76810807796149,3.5697570737608,2.51834436472457
STC2,3.33122231971088,3.02656962360087,2.93962089333755,3.15354276915406,3.05109597513279,2.81610842924801,3.23160448319078,3.04225285179898,3.11525809989854,3.26766758549116,2.87052274241237,3.08739300188541,3.3943653313673,3.58915210607507
OTUB1,3.33122231971088,3.43688942971458,4.00110120739748,2.79156098401869,2.88310498825785,2.81610842924801,2.5935622517618,3.45311269080306,3.25051537152042,0.970107555577958,3.38818285510002,3.88256926416918,3.72611869406106,3.38660193243663
ASAH1,2.75881510914874,2.66937237058984,2.77359226354915,2.79156098401869,2.47385402523252,2.00766221893124,2.37755694803547,2.87441215271289,2.39465901808086,3.11634697017422,4.31758648745847,3.28533118563263,4.81687984497183,5.15708861310793
UBA3,2.92456714260332,3.1766874906299,2.77359226354915,3.15354276915406,2.6929426969253,3.33111788635302,3.35507721763994,3.32872237087975,3.37417170152042,2.5347920257034,3.59075491016882,3.75481421385341,3.5697570737608,2.05409420013722
ISOC2,0.867151073132142,0,1.80819401344782,3.15354276915406,3.96132947674934,3.33111788635302,3.76443962443268,3.9519167873388,3.59361346823549,3.85058071257757,3.76835394492991,4.55451306838085,3.3943653313673,3.58915210607507
CYRIB,2.75881510914874,3.1766874906299,3.84239492811885,2.30719248234867,2.47385402523252,2.3300996844005,3.23160448319078,3.67371097637403,3.37417170152042,1.54496666834525,4.42748739122745,3.9999257955625,4.32407832263601,2.05409420013722
