protein,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4
EML2,0,0,0,2.268089723,2.271827737,2.859016798,3.964223206,3.812010579,3.980443085,4.328956263,4.270100252,3.916753108,3.269158334,3.631120459,3.814069025,4.039386317,3.930758617,4.236715467,1.098576504,3.551606284,2.583445471,2.680193992,4.139873595,3.508117252,3.840157301,3.459431619,0,0,0,0,0,0,0,0,0,0,0,0
EML3,0,0,1.791837015,1.540237874,0.968891745,2.451014583,0,0.9499485,0.90279184,1.540903575,1.455392216,1.526262086,0,0,0,0,0,0,1.098576504,0,1.168913826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EML4,3.900107558,3.833879792,4.632541544,4.458950855,4.399449,4.544734225,4.251363295,4.426243371,4.561429755,3.745612183,3.982732963,3.724923947,3.646291178,3.854102726,3.814069025,1.021139762,1.53606782,2.378701702,1.098576504,2.076463354,1.168913826,3.563016736,1.858228386,2.2550935,2.186666421,1,0,0,0,0,0,0,0,0,3.581002772,4.272170993,5.373641915,3.475828426
ENAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,1.529484238,1.473143559,0,0,0,0,0,0,0,0,0,0,0,0,0
ENDOD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGASE,3.452825167,3.388364695,3.642923751,3.261216432,2.271827737,2.859016798,2.621946525,2.500551849,2.636470024,1.540903575,1.455392216,0.956200116,0.970922069,0,0,0,0,0,0,0,0,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO1,4.992958941,4.968462577,5.008646625,6.103268318,6.067299108,6.161776458,7.04016496,6.876215632,7.166189397,6.326525224,6.503492149,6.612350602,6.761955532,6.722222613,6.651013357,8.171109492,8.385669439,8.230254984,4.991802515,5.982063908,4.698689158,5.886337328,8.316056209,8.379731008,8.063067417,8.271463028,6.025570328,5.742134157,5.729124655,5.838379101,4.06601068,2.886554086,3.687544579,5.234485315,5.653976914,6.793530178,5.539695345,5.54119875
ENO2,0,0,0,0,0,0,1.839113208,1.51783371,2.825330619,0,2.638521785,3.503618698,3.531197087,4.047190029,3.466005187,4.795328715,4.683718341,4.822957165,0,0,0,0,4.67275357,4.504525117,4.421358596,4.754887502,0,0,0,0,0,0,0,0,0,0,0,0
ENOPH1,0,0,0,0,0,0,0.894759661,2.500551849,2.419108186,0,0,0,0,0,0,0,0.963485218,1.03574445,0,0,0,0,2.644143159,2.735625828,2.443780137,2.321928095,0,0,1.266997295,0,0,0,0,0,0,0,0,0
ENOSF1,0,0,0,0.966587184,0.968891745,1.47881758,1.442864021,1.51783371,1.851615862,0.96708259,1.455392216,0.956200116,0.970922069,1.025359956,1.003619168,1.021139762,0.963485218,1.03574445,0,0,0,0,1.459649025,1.937434512,1.873574051,1,0,0,0,0,0,0,0,0,0,0,0,0
